Muscle,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
10,"[23.588066350945525, 6.490942045738031, 26.02955920506197, 13.419733763024583, 13.656087126224392, 15.659265046429766, 2.570750608511787, 15.16385341271026, 2.0107368775666146, 16.135368734233296]","[31.916528688424773, 16.46433825258254, 35.744296513899044, 10.391767491472379, 44.80753641136129, 37.079106397842295, 13.945716912577067, 9.363507698355164, 1.3077401096790844, 21.692921718414894]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[2.215518200425846, 1.3225237630105457, 2.1310137608645103, 1.5847616298435963, 0.59030022071323, 1.8522770776412276, 1.4659532642435398, 3.341625103933053, 2.243704350738173, 1.8383743395369718]","[8.170462463880364, 2.296232606771421, 9.146154598486591, 5.688642261518989, 9.575666152035984, 8.461854091091661, 2.5107075645117307, 6.983775705956814, 7.931400122668968, 7.0437679829452104]","[112.21261, 61.24868, 119.12957, 57.253204, 119.947655, 119.35547, 60.157146, 117.42827, 83.038376, 84.28138]","[0.27818185763888886, 0.32046267361111114, 0.2663624131944444, 0.12364539930555556, 0.12115364583333334, 0.14323480902777777, 0.14998741319444445, 0.1409396701388889, 0.03489973958333333, 0.15262630208333333]"
11,"[13.876644574265894, 30.28418270002141, 15.765711598258125, 17.7084292490474, 37.30123076825351, 6.5571085542181, 9.457996898263943, 27.26696851869748, 15.3521199564779, 2.2805515964986824]","[5.6888251921321284, 20.802045544444077, 10.633946944011333, 5.4207147411329615, 21.986693862516134, 8.9462720243703, 20.36451146318512, 6.751857881648565, 14.323996194348968, 22.42474907690153]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.37947865138698855, 0.4037056544295208, 0.25897144138365835, 0.5757571524879754, 0.018393025585181633, 0.2950017446972897, 0.6738628348635771, 0.8756195738398649, 0.7939577512586329, 0.7498086551715417]","[3.9164846552965757, 9.475513436594294, 4.4056718128245125, 5.455920259722001, 10.513381106794126, 2.195568460938522, 4.3037748935746425, 8.300694441093935, 4.205974318329336, 2.6739727452982116]","[57.775555, 154.86742, 81.41445, 68.00053, 144.00194, 70.294395, 158.95671, 94.67551, 129.93047, 172.65193]","[0.2222400173611111, 0.095890625, 0.27786067708333334, 0.042058159722222224, 0.25482942708333334, 0.1375464409722222, 0.10215581597222222, 0.040091145833333335, 0.33752907986111114, 0.11608029513888889]"
12,"[13.313167849862705, 2.720714669160685, 19.231011937624345, 16.239956548372216, 40.87234740863244, 8.295420507470766, 11.633092045993976, 12.65967104307078, 26.323863752782223, 21.740940469087022]","[4.934505441359647, 6.70336963580958, 3.6374935080149946, 3.058520028989477, 7.256789973704002, 2.859482954253652, 4.474733113583394, 6.041885065740178, 9.39415972542049, 4.342012329491624]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.10323471293696063, 1.3434654387319558, 0.5997292834137351, 0.32369115146648275, 0.36259885025938665, 0.31350043353370793, 0.44021830739407797, 1.0297369895274677, 0.3091628505043129, 1.0697135855528082]","[3.5875499763579266, 5.030141278183786, 6.5421467354506335, 5.015698186891489, 10.181766302427953, 2.2584348344220118, 3.9165894449333054, 3.9942114417186194, 8.246370238084557, 6.031306701123766]","[60.495285, 169.87407, 88.00197, 60.777843, 114.49066, 53.30418, 79.87696, 136.47612, 124.80179, 127.92481]","[0.25059765625, 0.06146354166666667, 0.12262977430555555, 0.1712986111111111, 0.27892664930555555, 0.24554296875, 0.1390859375, 0.17797743055555557, 0.17006380208333333, 0.23340017361111112]"
13,"[2.693907210682255, 37.01652885918997, 9.642319056193418, 3.3175994517704943, 42.585630077968894, 2.5111736056645775, 12.578485127250534, 9.434011260414337, 16.18632441262654, 35.89236172359054]","[32.46761125083403, 47.83690237484158, 5.450237242807976, 21.99337633997977, 36.918780260529296, 21.139955574040993, 36.487335505775846, 42.584141059664695, 7.078150145730003, 36.300670200166024]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.4866504766905315, 1.5867881896344382, 1.1225131700364113, 0.9097544487817864, 2.217826881903992, 0.6118307073942324, 0.9183749091973672, 2.5999527705755554, 2.6527575504379577, 2.0963480587896086]","[4.923277343585605, 11.173697249904132, 4.374434762796444, 5.862811658220893, 12.064738465615353, 5.21980183476607, 3.376121232613548, 12.577781049952623, 9.922377149409225, 10.6270974829975]","[100.390816, 126.852165, 56.989426, 66.60883, 141.18971, 53.527466, 81.08018, 165.08205, 129.73253, 134.28493]","[0.10429470486111111, 0.1547556423611111, 0.03329861111111111, 0.05170269097222222, 0.1483715277777778, 0.05512717013888889, 0.31403515625, 0.049417100694444445, 0.024059895833333334, 0.1387495659722222]"
14,"[9.591860484072928, 24.50542962753206, 30.085714625425624, 37.160557967745504, 40.565544017237656, 26.759595871602066, 9.371257710229703, 49.15783231241302, 22.081403699718216, 31.1579803323948]","[7.202396681284732, 11.331798828754833, 13.934550600699502, 10.54881497538328, 6.577773510853142, 18.866824313142995, 7.115127444328145, 1.0274218536252988, 17.0127264186226, 3.4751940490118756]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.12408643693991639, 0.3109828018043217, 0.4962332081471743, 0.12116126706979635, 0.45671369993471167, 0.676172015039139, 0.1795259670757945, 0.07176455377222268, 0.38692538972403057, 0.8888094092124152]","[1.7305169116364874, 5.332268794864231, 2.8262655026927668, 3.8346294585884535, 3.783465991261143, 1.9917786932126713, 2.935288695090939, 5.101436086819134, 3.953631103031256, 3.978389386083179]","[53.93074, 108.17028, 137.13055, 136.17061, 141.39339, 168.32141, 58.135914, 143.74377, 133.25842, 156.84213]","[0.1096701388888889, 0.07622135416666667, 0.21474913194444445, 0.18021484375, 0.20951041666666667, 0.2798454861111111, 0.05311892361111111, 0.1726909722222222, 0.11187239583333333, 0.12927647569444445]"
15,"[0.32467171089079727, 4.650884339755098, 7.693756205378769, 8.700141696828972, 3.222322428131285, 8.308276821629022, 7.314864202199132, 8.815362007246396, 9.31162841330152, 23.571434693230685]","[11.683740419953075, 4.338409689488742, 17.93895777108894, 22.63778169345891, 10.35512384824018, 19.526986595648, 8.245086793375872, 6.666077456671866, 11.82075658551792, 16.026676695618306]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.152004796551811, 0.6285680729507561, 0.6626425262698934, 0.981123578770644, 0.2689725295128964, 0.26991141389649975, 0.834349991213723, 0.615610782420597, 0.1962201076131489, 1.258702221035863]","[2.878490307778117, 4.2136869928270055, 7.1813892665104575, 4.944817390278161, 4.092565419241441, 5.319597143621658, 3.9013926591981454, 5.01862809215582, 4.834980651682645, 12.305962586636825]","[113.9752, 56.90048, 101.1027, 128.50114, 55.528687, 96.69703, 79.79552, 60.63512, 59.480816, 129.25824]","[0.12406163194444444, 0.07674913194444444, 0.09711371527777778, 0.16662369791666667, 0.0891640625, 0.13061414930555557, 0.3961822916666667, 0.1110625, 0.4025946180555556, 0.3836128472222222]"
16,"[36.210629576698324, 34.80234387863076, 8.796882585463202, 10.983627514759196, 7.125599069090576, 5.810043150919498, 14.634244559253432, 16.34026949358612, 21.006445161410923, 2.0205424430612737]","[8.62922636189472, 1.3372583622965841, 6.519272145055975, 5.206247268072145, 11.801026287805453, 12.233307360780142, 6.721450978412626, 5.91690818608572, 19.524647909280944, 12.844072533797863]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.984833240559503, 1.4174130879180016, 0.6675804306164147, 0.1973573176430552, 0.8239946129632134, 1.0375153083068458, 1.9111894222631456, 0.03988554488606244, 0.08295278063520684, 0.4264781033426921]","[8.723000469466665, 6.4254876889530745, 9.398100819234898, 4.817608424156219, 6.878679992741829, 14.060139392619357, 7.102823885068809, 5.415874885203259, 11.862196485450037, 8.143992831520062]","[134.59851, 110.932755, 94.17108, 55.78439, 136.71214, 157.98154, 162.13503, 54.7134, 160.89954, 122.238106]","[0.23625260416666666, 0.2838776041666667, 0.019855034722222224, 0.09175, 0.06548307291666666, 0.026430989583333335, 0.10974392361111111, 0.18988671875, 0.07244357638888889, 0.050363715277777776]"
17,"[23.352625277524524, 13.541304599170772, 35.938741203365765, 21.15615507481416, 26.555908342831653, 92.98963230358723, 17.727581652067645, 103.76005821233522, 129.80002768586374, 94.90948427914545]","[9.199363584440299, 17.835714491645483, 2.897467848274518, 27.83965235383173, 17.673645879352307, 11.959290343763643, 12.478278803878808, 21.17310028982925, 20.464814894175884, 21.037975885102902]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[2.032256320726617, 0.6010672583609393, 0.9724049641449728, 0.6615726149809049, 0.38835393908592586, 1.287066932790351, 0.8452706776009151, 0.3699862338046138, 1.989588277684767, 1.1337208582223166]","[11.498973359214144, 0.1155471117176976, 5.448048605487355, 11.534241951992069, 7.55925161884913, 4.658198893879941, 7.170468750298035, 8.871496433116588, 3.5325969326431332, 10.267409916420405]","[139.6417, 72.78342, 69.35094, 120.22748, 80.800934, 106.63825, 75.68016, 123.39244, 162.49962, 128.83408]","[0.034454427083333336, 0.29026302083333333, 0.12898871527777778, 0.06411371527777777, 0.09875303819444445, 0.2050525173611111, 0.05365798611111111, 0.18126649305555556, 0.2259782986111111, 0.16854166666666667]"
18,"[3.0224703052605904, 5.144240434892165, 8.384121029854029, 11.46572677360767, 10.03348625036842, 19.237055764706156, 12.154430707729375, 8.987752031392489, 23.50593517072568, 14.091471206548]","[36.089915792396454, 20.87796907065301, 40.69771759519589, 55.85068658878696, 53.299079029519135, 45.003418127107686, 48.63512016000596, 20.890908201847207, 30.271535803510673, 33.6071557621958]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6285479209340856, 0.6042838837499397, 2.9975256810901403, 1.0680824084095537, 0.6713925839748143, 3.0014593463782067, 2.146200321271463, 3.0911567161861555, 1.0523271532973473, 1.9445942561530178]","[2.8932221073707254, 2.849537577843752, 7.619352917852579, 6.040455245158551, 6.991990810829698, 14.682962712189623, 13.99965294308102, 11.604673083035461, 8.826506796654773, 6.461763938723898]","[95.70379, 59.007908, 155.42856, 149.47037, 140.51619, 167.23125, 157.61888, 150.28293, 89.68701, 113.66473]","[0.16275737847222221, 0.1439058159722222, 0.11424652777777777, 0.16265494791666665, 0.13464930555555554, 0.08163975694444445, 0.07872178819444445, 0.06316362847222222, 0.23379210069444445, 0.1384921875]"
19,"[21.01359995883314, 15.776908101855156, 2.2859351625109454, 28.960838896234648, 16.0733921896532, 2.337851399474019, 10.698710769603874, 1.855997670315645, 9.494357645564516, 17.785187758309434]","[23.987029815814978, 34.1858833079545, 3.837692164760849, 25.906459889438793, 17.650117607692227, 16.594081012692023, 13.513634412495037, 27.381347358960653, 11.719237998463093, 12.082043139892106]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[2.0390819869184593, 0.4000953377484162, 1.4646079396707545, 1.7557775608066564, 0.7733195406009798, 0.30196028786456736, 0.8832553457738959, 1.3155224007625552, 0.6791146009347484, 1.1826140488786656]","[10.963733629869004, 11.052002119565172, 12.004352863694152, 14.219641827141324, 8.854011856223643, 4.6730533886064745, 6.80593737535186, 4.126181692208652, 4.304746947657581, 8.074059970647639]","[167.79045, 146.80219, 121.95854, 156.97607, 90.536446, 73.43945, 81.3675, 142.87143, 65.139084, 94.22836]","[0.24566102430555556, 0.11770182291666667, 0.030377604166666666, 0.2496723090277778, 0.22725737847222222, 0.10107855902777778, 0.10346440972222222, 0.1442751736111111, 0.28648263888888886, 0.2686584201388889]"
