Muscle,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
10,"[2.702033923809303, 11.564110673969328, 6.7968181356578725, 1.7815103893286555, 19.16621207572419, 4.0740609260601985, 12.355936766363286, 4.318911511982321, 3.0827706698261323, 13.819012544460008]","[3.5148266654581732, 8.769963852626324, 18.075919272767393, 1.8762862031512437, 39.72486855096099, 36.20996030557553, 10.541784573193983, 49.09995681437632, 1.9677257249665452, 43.60173353186504]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[2.8955378978132025, 2.0560924196336954, 3.8966831000667828, 1.923628087458571, 2.617468380702741, 3.9164378966854123, 2.108042906662175, 2.9132746022459077, 3.4993857761797447, 4.218119688121126]","[3.8057106618428245, 6.449614886414498, 4.522542900165213, 1.4790666613760801, 10.574780297398537, 13.106100463038935, 6.181266116086928, 13.698354023013696, 9.945118149188215, 9.191512468824016]","[100.27195, 73.89458, 134.0829, 65.63488, 118.647804, 148.10893, 75.668526, 146.82617, 126.88336, 158.29358]","[0.1297478298611111, 0.10641883680555556, 0.24852039930555556, 0.20408116319444444, 0.26355772569444447, 0.1089318576388889, 0.15263020833333332, 0.14913975694444445, 0.052388454861111114, 0.2721089409722222]"
11,"[14.63477227182355, 4.10821923188179, 7.839947507603874, 18.405321335400615, 6.190600696436377, 19.659343250795814, 32.88151376918316, 13.226885950760398, 1.889392843016843, 41.37552966182362]","[38.975791304899175, 31.95906339704483, 42.71371244538693, 42.28125821674189, 47.66152487476784, 19.04619127919258, 21.49525816332116, 32.32450510691632, 12.818292409935772, 11.275596263348625]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.4384634228151878, 1.4831981597908683, 0.11884160300377467, 0.6574183690734152, 0.22673376487508712, 1.1747610997462363, 1.216782319588491, 0.8589434133389027, 0.5077291957028063, 1.4968257613588634]","[10.703314454245728, 5.16211782154763, 6.010017086883002, 12.468939064386165, 11.23448214817726, 6.831537882011035, 10.711234864262899, 11.091585776311105, 6.062620838609135, 12.086822226331542]","[146.99133, 173.04546, 136.35933, 169.72934, 161.21848, 124.64793, 137.35596, 149.26483, 69.01167, 150.3912]","[0.15424869791666668, 0.2184939236111111, 0.2762105034722222, 0.14727951388888888, 0.14129774305555556, 0.24870269097222222, 0.22348784722222223, 0.10609375, 0.045961805555555554, 0.20348741319444444]"
12,"[10.874297451683457, 23.0333918674147, 18.01763123841919, 59.964517778589396, 11.728444570608364, 27.749822834991136, 13.886616160230929, 13.708703661365163, 2.7517861638367656, 22.865194255370092]","[7.678073596947128, 24.47064710099677, 20.891632022239193, 7.7928017745247615, 13.520568994272224, 23.74066520415149, 14.996730051799524, 25.7281859503779, 6.6374762945986525, 9.937521214914067]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.6505294077186112, 0.2439613350845562, 0.2728163075822678, 1.5953360757353536, 0.10517490606380164, 0.3697195585041424, 0.8742210899977767, 0.8868675529921859, 0.37663368141592724, 1.371437272100277]","[4.310763637267356, 7.370874132399085, 6.56179959563274, 15.583476162613003, 5.952520816886331, 7.271135168609869, 5.039019229531863, 14.833838393200292, 5.4684055258296755, 11.469162597706744]","[84.21779, 124.24222, 110.45304, 174.13933, 68.16627, 131.5053, 127.77281, 179.39049, 58.148666, 167.52228]","[0.15761762152777778, 0.2614986979166667, 0.23492361111111112, 0.2612595486111111, 0.15695486111111112, 0.29521484375, 0.2259197048611111, 0.07467708333333334, 0.03313064236111111, 0.07212847222222223]"
13,"[7.9896213766848945, 25.285038313598015, 6.828907374368853, 28.170924641656313, 17.06618390592304, 2.5018796737244173, 8.687369504230332, 6.823308760728445, 33.10133079201044, 14.85497338751297]","[35.545875241090435, 1.8671790744950094, 63.9641083762226, 14.519446063520931, 20.044339317215147, 22.634162009437834, 24.050706320254715, 32.8135474777214, 17.67043133757815, 28.72561020600294]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[1.7354859838374082, 1.391281583244396, 2.0243924682388847, 2.769151098807688, 1.9066849563196744, 1.063465221335381, 1.2498009425434669, 1.35348327734188, 3.055576541065374, 0.9426522166839204]","[10.63603443721135, 6.5776331648009165, 9.758292486405033, 10.480707901146992, 7.812775782620177, 5.205753165726295, 4.21023883397912, 9.434011096644085, 8.703349363832206, 5.808556581793834]","[119.45536, 67.272575, 159.34892, 141.88255, 107.948166, 72.849945, 80.892944, 99.375496, 155.07405, 73.87643]","[0.12343098958333333, 0.1458355034722222, 0.25107725694444444, 0.07905121527777778, 0.1365217013888889, 0.16266319444444444, 0.2858884548611111, 0.12973741319444446, 0.2749136284722222, 0.2935199652777778]"
14,"[12.031160424277928, 32.69152176428316, 9.953418568192077, 25.165562664319573, 29.581181076691692, 1.3176988997980743, 24.15845413349291, 31.630600723566772, 3.4926751311605884, 25.043383302719395]","[37.63234436807535, 32.38895236196644, 28.120279538931833, 27.620893954538325, 11.295664796307076, 7.507320919887812, 43.95533740966472, 15.7642340392486, 26.085933775801774, 4.689332830810239]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.34142934137978287, 0.32464390963653145, 0.2081452524102012, 0.7135041475192629, 0.6826932461040478, 0.47637301049845404, 0.3632920705125482, 0.7608607152556397, 0.22452506850834908, 0.16401127547551564]","[7.8570731688890865, 12.284705593535097, 7.248439734413965, 11.281587038710725, 2.807640075482829, 3.9314758916285113, 3.703690041648951, 4.964223813296981, 3.1022691552939157, 3.643228869652904]","[141.63216, 164.68816, 104.17496, 168.86783, 138.99304, 83.08803, 157.53432, 156.2164, 95.26659, 79.58177]","[0.14288975694444445, 0.08797222222222222, 0.11300434027777778, 0.07391970486111112, 0.2437204861111111, 0.03913628472222222, 0.2695707465277778, 0.16278038194444444, 0.2455234375, 0.11898654513888889]"
15,"[8.866830460604604, 5.396807088944357, 4.4658705714983, 6.962114148521714, 4.077053863720508, 8.05139166363049, 0.07603769708174468, 6.129089276409282, 5.186133731179083, 18.037884651892973]","[28.360498571540152, 45.147397964262, 30.8099547220718, 3.3787973980812946, 48.77095449520431, 38.1320212342064, 25.4508624056266, 7.517010125006698, 13.081561479799838, 22.077059255784295]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.6263770373533166, 0.5778500583765371, 0.7743964145840696, 0.892436579149166, 1.1125215941162505, 0.41332869906549696, 0.23478168734817473, 0.5591889055979358, 1.3533077428868003, 1.780093139147997]","[7.945888983495372, 5.517695288025149, 4.600623402845866, 4.521817707087038, 6.034872918592431, 4.692173298581512, 2.0235214212855146, 5.216261710599397, 5.949991967125334, 10.511937422255631]","[97.53789, 128.92293, 111.38729, 68.8382, 168.86711, 105.54447, 69.98899, 54.221786, 120.80772, 164.0165]","[0.16826953125, 0.24245746527777778, 0.22258723958333335, 0.10505121527777778, 0.23046137152777776, 0.26502864583333335, 0.25784765625, 0.09682899305555556, 0.11922743055555556, 0.1617873263888889]"
16,"[36.61327200291817, 41.06836013145069, 5.570409957229828, 3.248334686479147, 2.5068615148694953, 15.05020477793908, 24.849880329321973, 13.904448320655732, 0.5741745251747687, 18.257420956079258]","[28.768135315228243, 33.52032956020087, 1.9417452436699136, 0.6161869963122004, 4.6488667628046265, 20.272285525341086, 16.13617683394029, 3.630606262155787, 0.6776358356285144, 34.22692926203902]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[0.6099166213651888, 0.6353223104809551, 1.6186555288947346, 1.0087360063065507, 0.7150648131562027, 0.6749444346056706, 0.5695829828755912, 0.5713406343748089, 1.4185913748058727, 0.9182529264787682]","[13.81964038280861, 14.148892123919493, 13.24771489864514, 8.134979386918754, 2.889687279592569, 11.03207872751324, 9.711898790521683, 3.5278636792113174, 10.036877491381464, 12.934145172830718]","[151.69414, 170.21346, 133.54407, 82.38911, 60.617104, 117.77457, 100.72392, 50.622665, 114.31415, 178.85826]","[0.20201258680555556, 0.22581119791666668, 0.023887152777777778, 0.024229166666666666, 0.0917048611111111, 0.10516319444444444, 0.17848784722222222, 0.2370238715277778, 0.030505642361111113, 0.1570256076388889]"
17,"[30.541852620058222, 58.366434356812206, 44.72646991686631, 9.21850913368732, 9.903948447557354, 117.6505592055139, 59.5945540447672, 17.96667661916433, 6.886123501345857, 10.586066459983854]","[39.12916121997971, 41.671661362489374, 34.557349554542554, 11.243540799827887, 19.35537846950042, 30.993980726974574, 15.382885061360836, 16.80389576781165, 9.641379041110667, 15.066687747776609]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[1.2815285165122372, 0.42777099534344387, 1.3146604248808789, 2.536029119336341, 1.0158733053861733, 1.1964450025630207, 0.5343997617054566, 0.754278517240528, 1.7560840376939382, 1.3396565001380427]","[8.072826281870002, 0.7592531228127193, 10.182105032108, 8.829956967360179, 7.796262643834989, 0.26681664686330375, 6.387628315701171, 5.896664075728163, 3.9207172069555813, 6.931808690736114]","[134.07549, 112.69242, 133.54083, 165.3937, 89.092224, 124.45061, 66.120125, 71.15268, 114.23673, 100.00223]","[0.20138628472222223, 0.30362673611111113, 0.16709288194444444, 0.07436762152777777, 0.1049900173611111, 0.25460243055555554, 0.17609027777777778, 0.14087326388888888, 0.12311154513888889, 0.09270703125]"
18,"[8.313037755642448, 5.818299495483096, 6.119333675879183, 27.781988960457305, 6.165094408881124, 7.681720589073564, 6.492014377136641, 3.248121062801882, 2.7686184423931692, 28.17117798613171]","[40.61208763191965, 29.36741626411541, 20.5467011731088, 29.592208976637515, 0.9687131756489933, 72.29321948547368, 22.014377094584084, 11.072246664405606, 1.4597531118367577, 63.552466800229624]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[1.7054555548945238, 2.2251099423438294, 0.8744040681573795, 2.4619686361202433, 2.812510925409134, 2.207196050089859, 2.7671490045519107, 0.9563915054519556, 1.780157720049817, 2.830444589162475]","[8.50427039781994, 11.533480892591582, 3.0089164169554525, 10.200072824189322, 13.122024767956468, 11.406038253089715, 7.193967969681908, 3.3330040205378175, 8.576080239083922, 15.474078063514881]","[108.89642, 123.45761, 53.590374, 123.63617, 134.24017, 168.62512, 137.1374, 50.0985, 86.07122, 173.2718]","[0.17295659722222223, 0.09107899305555556, 0.24833246527777778, 0.28220833333333334, 0.03112717013888889, 0.19927430555555556, 0.1198342013888889, 0.12699869791666665, 0.029147135416666668, 0.18575651041666666]"
19,"[3.1331457203887254, 10.889779306576461, 1.319580061957673, 7.758340095714033, 9.447345505786046, 6.6466283784350395, 5.108581758825103, 13.99583030087097, 1.6325677247980224, 0.0973134074199038]","[26.69971032847305, 23.974146380987015, 20.16994006144377, 31.551746258478865, 20.81638778308029, 42.06801879423038, 22.41376075262226, 11.268315649323695, 42.31570682930045, 45.05945576535994]","[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]","[1.3627796237118428, 0.6538545225802697, 1.0252590137047068, 0.4909941637701891, 1.8988948815568547, 1.0891911246802763, 1.268896626892479, 1.0052283823982089, 0.7739768081988885, 0.17385774322479186]","[8.00193555118292, 6.850419639449045, 8.20709080010074, 8.229181921977855, 10.506488855403763, 12.331154198635115, 5.931342570853781, 6.929550502841213, 10.550272072088053, 4.067851571810898]","[129.63245, 77.41131, 100.39207, 88.53158, 161.70076, 138.12308, 115.30866, 82.06561, 125.46234, 108.59988]","[0.14457986111111112, 0.19903993055555555, 0.10684114583333333, 0.18249739583333333, 0.1093064236111111, 0.15561979166666667, 0.17123611111111112, 0.26615364583333334, 0.16374088541666668, 0.2829626736111111]"
