Muscle,k_l,k_v,e_v,k_a,k_c,max_rate,frac_zero
10,"[0.8726319200332835, 3.8314235167196635, 3.0683655805678285, 0.5741923375771911, 0.09523924747652224, 0.6936704506147358, 2.1634802829270487, 2.2810100100853674, 4.3666785610354735, 3.929161422008571]","[12.350738628334442, 13.265766536146792, 9.14817411146207, 8.614689462673004, 10.256880076944292, 8.056625592371448, 12.016702582105822, 17.14997844323026, 9.097283623582465, 13.903496785467368]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0703044075623414, 3.4407662670074135, 1.8912697680395572, 1.3029460061297549, 2.3427997132998586, 0.9816531881974843, 2.0623960817630267, 2.6880423351438805, 1.6742338257552398, 2.2715420228450087]","[31.513714, 35.60058, 23.990673, 22.545422, 27.772495, 20.812973, 31.43415, 44.754883, 23.409185, 35.99326]","[0.20131163194444446, 0.09069574652777777, 0.13431944444444444, 0.12307725694444445, 0.08089626736111111, 0.15544835069444443, 0.12919184027777778, 0.13190711805555555, 0.24503602430555554, 0.16830989583333333]"
11,"[1.033502715720557, 3.8461920593055883, 6.508301755480371, 8.029148472951988, 4.243813170971773, 5.3756241483389475, 0.9618380143922991, 1.3917425526913547, 6.07579591135908, 2.989180174325938]","[4.631080024512132, 4.835044431897144, 7.623474483923395, 4.33286228328847, 7.648800128898028, 4.034041275840872, 4.259118176041609, 6.123195467123265, 6.866271920227048, 7.8860403632931995]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4162710950227644, 1.6442578074681111, 3.0156303787496648, 2.2423816021140577, 2.778320550577026, 2.088479033716386, 2.6873132934693573, 1.1507598116456808, 1.8654878371058747, 1.646081275037996]","[27.738293, 30.41249, 48.413826, 28.424871, 48.126675, 26.280956, 27.815863, 37.278046, 42.773277, 48.279312]","[0.21073567708333332, 0.06545616319444444, 0.05023263888888889, 0.2641310763888889, 0.04429079861111111, 0.04396397569444444, 0.011813802083333333, 0.08215277777777778, 0.17208072916666667, 0.08829774305555556]"
12,"[9.687403900910967, 2.8779934347699623, 6.807414825158764, 3.8728734002084213, 8.767736162297409, 0.04820306678528752, 0.07373597028377432, 4.785801495565449, 5.439494537217048, 2.8583517142584434]","[4.195261430909658, 2.605217951929496, 2.9508255823206966, 2.5702285097721713, 3.9916397560674417, 2.363015155446469, 4.241466569451557, 3.3895761540836595, 2.1467139768084715, 4.115380446752695]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.626710004954309, 1.547005594472107, 2.6562128526335194, 1.5026078380384815, 2.4445461473862995, 2.452941418963219, 4.063732279667409, 1.7063317445103672, 2.2888123616647844, 1.4368528817980066]","[46.37226, 26.62534, 32.017094, 26.522541, 42.04285, 24.509573, 43.65058, 34.615566, 23.77996, 40.59761]","[0.06294401041666667, 0.07184635416666667, 0.10309678819444444, 0.11938151041666667, 0.23656944444444444, 0.0111796875, 0.013203993055555556, 0.14232682291666668, 0.08467361111111112, 0.11327821180555556]"
13,"[1.7538966230307658, 5.557920939493054, 4.270531033148901, 11.46449543953824, 2.757393607899612, 5.087844881042491, 3.31094514870453, 5.278713278342385, 0.6706731163931892, 15.592160196065173]","[15.169186661129537, 10.560643228910163, 14.378429372155363, 23.268376254456598, 12.282073244048355, 17.023077377505498, 18.455670525063752, 9.433171680207462, 24.31157205854538, 23.061206010577465]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.8495229439867094, 2.1456618810589294, 1.7837996603444015, 3.9717211094639486, 1.1595904250759368, 2.9544149341074997, 2.533154342743886, 1.3120703811911276, 1.44105161270655, 4.722939833531085]","[29.492752, 21.030926, 27.637606, 45.588413, 23.362234, 33.559326, 36.00656, 18.181057, 46.047237, 46.300243]","[0.1301072048611111, 0.12159331597222223, 0.17039192708333334, 0.15640364583333333, 0.2015368923611111, 0.10956597222222222, 0.12498133680555555, 0.33311111111111114, 0.20321006944444445, 0.16871961805555555]"
14,"[5.705329843637726, 13.249078336603848, 6.993120164254365, 5.570122130632609, 12.568101441531885, 6.744900041544964, 2.815042444567826, 6.997038309208831, 12.384575548039587, 6.21670524294391]","[5.04597288311875, 3.142137212433129, 2.8791485657106817, 3.7260553737602446, 4.474302965714021, 6.693280327700543, 5.934256522423498, 4.678203983666166, 1.2508649676105357, 1.4116618150885216]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.474317266803885, 1.5535830140686056, 0.8422170428672702, 0.48734609276926066, 1.2689887946788696, 1.7632880397710124, 0.35717989190063304, 0.8352685825821936, 0.9357588624409341, 0.4373761774552035]","[36.025845, 46.81544, 28.668434, 27.271412, 49.020912, 45.540756, 37.070396, 34.473064, 37.806854, 21.472921]","[0.030635416666666665, 0.14600260416666666, 0.15105815972222222, 0.2398962673611111, 0.18990234375, 0.08104470486111111, 0.21272222222222223, 0.16907421875, 0.289140625, 0.30342100694444446]"
15,"[3.7124652298217917, 0.07210839882883491, 0.7434013126778432, 0.20756181460088996, 0.30780560928025835, 5.112285129695515, 0.2673721096969395, 0.044611079529826014, 2.6742112464956236, 0.8571372360373317]","[8.140907336609414, 4.2144885582108325, 8.325923014205136, 5.496816480186704, 4.04735513121236, 8.998547601229358, 4.812602487343854, 9.04889653692, 4.935594150755529, 9.274174350999886]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.163102977420758, 0.9474263447730501, 2.9883769691802033, 2.626263150691231, 1.525852142145152, 3.2987377664968016, 0.3778655630718194, 2.0735119386000753, 2.1937030274870466, 0.5562163065851196]","[39.250504, 20.553696, 41.589474, 28.173128, 20.30219, 44.071667, 22.725979, 44.194202, 24.585678, 43.547264]","[0.14442838541666667, 0.10532118055555556, 0.08205381944444444, 0.06598263888888889, 0.07894401041666667, 0.11500737847222223, 0.1732443576388889, 0.10340885416666666, 0.09215494791666666, 0.21301085069444445]"
16,"[3.6221130132008525, 11.440041645414297, 4.221975417743247, 0.650498771017542, 2.484994043325905, 1.6543246372974245, 8.10959440007237, 0.5106685187520927, 13.46193239914065, 13.272454361941595]","[2.5570957504576515, 5.221636900991086, 4.683770812620652, 2.863080164887964, 2.873577177980102, 5.946193456725972, 4.648749711465926, 2.6727049765831867, 4.382829271573999, 3.9232994588266212]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.3453339495851215, 4.1491998188964825, 1.8713547954887282, 1.105332830506481, 2.2428159405039985, 2.5876549916825295, 3.408448715153027, 1.265544602338251, 2.862195449454573, 3.019820123035323]","[20.57168, 44.76338, 36.280167, 21.492464, 23.318, 45.03025, 38.871956, 20.264742, 38.244114, 35.10109]","[0.18681944444444445, 0.17640277777777777, 0.14515321180555554, 0.08096571180555556, 0.04092534722222222, 0.07346527777777778, 0.12701171875, 0.06661805555555556, 0.26877821180555556, 0.2524006076388889]"
17,"[36.56454933967301, 10.789154628909156, 15.052651514833649, 40.46802285685399, 3.8348840681761374, 15.741207202070147, 9.005231090703797, 8.399382639849645, 17.48916273054426, 1.538415207050786]","[8.263085097807526, 5.758264025475859, 3.9440851085218522, 6.4002500248251755, 5.435329785352142, 8.58925964801022, 11.799310697490409, 7.617881288905277, 11.541113961867062, 5.320706017229799]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.4246152877528315, 2.38454467641319, 0.6100109684562355, 0.17464667024473846, 2.09719684072939, 3.8904478279404895, 0.29473421919183607, 3.1330492351511543, 0.25078285278887913, 1.4527553179306938]","[46.925644, 26.597862, 20.702768, 40.73423, 22.219767, 39.85522, 44.25925, 32.62345, 46.990692, 20.356688]","[0.19723133680555555, 0.13338715277777777, 0.21911067708333334, 0.24333897569444443, 0.06815798611111111, 0.11755425347222222, 0.27339583333333334, 0.07282769097222222, 0.25813411458333335, 0.09339670138888889]"
18,"[5.94509144619568, 4.209529660964737, 8.975541303015206, 1.0970189028877364, 1.3802716763901142, 5.528590596856283, 4.69895605665812, 0.022350201025721717, 6.277475453740058, 2.6717877562198353]","[8.869042116952926, 12.342528233268194, 18.040300784048895, 15.051619827337298, 10.653038868713601, 13.920427019218913, 6.752514572237759, 8.341810638432921, 14.191304985760244, 9.531160388488232]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.868205661786191, 2.788267462127182, 2.912722628979776, 3.5552276090012143, 0.6729952678687309, 2.282518289766817, 1.8310201454252648, 0.5176868605766903, 2.365419638297456, 1.4279271333649275]","[23.041195, 32.796696, 46.396854, 40.68983, 26.874924, 36.02292, 17.928167, 21.176464, 36.67665, 24.67845]","[0.3059309895833333, 0.10027777777777777, 0.30156380208333333, 0.0796640625, 0.2042504340277778, 0.1581076388888889, 0.227421875, 0.16496310763888888, 0.26147178819444444, 0.13827690972222223]"
19,"[5.412702558271214, 0.43653669594216815, 2.7590749158629357, 2.9920091497950594, 1.7394518982884755, 4.971966985878286, 1.1029926154820942, 4.70274722095669, 0.5136482959649591, 2.4596969868613447]","[11.489726526638762, 5.910919072828468, 9.89171968542023, 7.583998853250646, 5.830924613113344, 10.831361740911166, 5.615614610136543, 6.495097278633679, 5.494896115502233, 4.755040461768448]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.923318374028117, 2.115509372885175, 3.384351401327379, 1.9956884975022173, 1.9733582806258045, 2.7959484914150976, 1.7001904146149458, 2.7335591878121996, 1.4007285624461205, 1.2636462143436074]","[47.872723, 25.601875, 42.357426, 31.749454, 24.930653, 45.188652, 23.89786, 27.905333, 23.216002, 19.834217]","[0.26530598958333335, 0.082625, 0.09514713541666667, 0.13385460069444444, 0.09711935763888889, 0.2586041666666667, 0.09892664930555556, 0.12009027777777778, 0.10432725694444445, 0.2704839409722222]"
